system,sign_agreement,value_median,gradient_low,gradient_high,gradient_span,surface_gradient_median,surface_gradient_spread,normalisation_error,crossings,crossing_median,crossing_p98,crossing_max
R0,100.0,0.010744122570160747,0.03988701319504663,4.919600900351017,123.33841283864187,1.0,0.8,0.0862965866614427,6464,0.07640377807693305,0.2692464783224391,0.39824985290231774
R-alpha(-0.5),100.0,0.010710663045045601,0.03254882879140214,41.52679385154403,1275.830664067195,1.0,0.8000000000000003,0.13445360380662155,6464,0.11512413492218487,0.343332161241163,0.39915742560927475
R-alpha(0.5),100.0,0.01031570941056791,0.06145369939945835,1.8052805647312962,29.376271605663625,1.0,0.8,0.043349019876119416,6464,0.04065927245221021,0.20583763913246972,0.39729388188541626
R-p(4),100.0,0.011449613016836427,0.07867656260991349,3.906183593395525,49.64863059362146,1.0,0.8,0.008007084548048597,6464,0.005108412775489568,0.2159525232005771,0.3981483914024697
R-p(8),100.0,0.011151081183268324,0.08333333401412489,3.9299845936596345,47.15981473864357,1.0,1.2107049753964776,5.930714095381955e-05,6464,8.624634072723625e-05,0.1780204311450091,0.3981481481508682
R-m0(1),100.0,2.5546106142640872e-05,0.0001550820165800027,0.04447227795930192,286.76618308196845,0.0007742028400864006,0.003692284299910202,0.0704542359071683,6464,0.0732460714082962,0.420833834216818,0.7277351640124864
min/max,100.0,0.009228395061728397,0.07856742013183861,1.0,12.727922061357857,1.0,0.8,0.0,6464,9.059419880941277e-14,0.07189662130157631,0.39630996309972205
