system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,seconds
R0,Marching Cubes,mc,3392,0.09859295957500501,0.23782176728622278,0.0,0.05007273308045518,17.528,-4.393587126626803,0.17585117402648737,17.452830188679243,True,0.0,0.0016024000069592148
min/max,Marching Cubes,mc,3392,0.033579806766806476,0.2021160725014113,0.0,0.7443981597275859,15.745999999999999,0.34743152351619727,0.2369115448942985,7.547169811320755,True,0.0,0.008778899995377287
