Algorithm,Number of triangles,"Surface error, cells","Crease error, cells",F-score,Edge F-score,"Normals off by over 5 degrees, %","Relative volume error, %","Minimum angle, degrees","Self-intersecting triangles, %",Is watertight,"Computation time, seconds"
Marching Cubes,11584,0.1939421985818975,0.4872259947090356,0.34118901115633515,0.0,37.939,-9.718459316252577,0.8447836078072642,0.0,True,0.08186840000053053
MC + projection,11584,0.07506523176419062,1.0717779256193085,0.8158345207896769,0.013980164916950364,24.498,-1.7809025998391983,0.7415811767942413,0.0,True,0.12036040000020876
MC + snap + projection,11488,0.04753245738418185,0.24144810340977277,0.9553117759063764,0.5445028988620396,6.433,-0.3485066095526426,0.002772676153943883,2.9247910863509747,False,3.6620063000009395
"FlexiCubes, 0 iterations",11568,0.20990325609619087,0.5394047546914978,0.2956566611520021,0.0,38.243,-10.618209106306026,15.657743090296474,0.0,True,12.92279249999956
"FlexiCubes, 100 iterations",11568,0.10655663245340156,0.8413170220174172,0.44491562741486207,0.0043282633630212855,36.489,-5.056697405497096,14.648954043822863,0.0,True,72.54617370000051
"FlexiCubes, 400 iterations",11568,0.0731872229303363,1.040536915774933,0.7168481463247958,0.004702065026264301,29.693,-2.84607192976385,10.120030851469195,0.0,True,221.23103530000117
