iteration,seconds,triangles,surface,crease,edge_f1,f1,normals_off,volume_error,min_angle,small_angles,watertight,non_manifold
0,0.0,11584,0.1939421985818975,0.4872259947090356,0.0,0.34118901115633515,37.939,-9.718459316252577,0.8447836078072642,9.737569060773481,True,0.0
1,131.46053429999665,8830,0.02413907474034284,0.10483140338929012,0.7770616294491182,0.9909451452386838,2.154,0.1861162457251265,0.0027726354045425547,5.730464326160815,True,0.0
2,97.93303460000243,8784,0.023304504232684393,0.09891244685847153,0.7866230484605143,0.9914735950296527,1.9789999999999999,0.1868208550031877,0.0027726354045425547,5.783242258652095,True,0.0
3,95.42325900000287,8730,0.024134538793399555,0.10202708461714194,0.7795621643318826,0.991332818947995,2.104,0.19599010676895698,0.0027726354045425547,5.738831615120275,True,0.0
4,87.11413010000251,8692,0.019092176188343118,0.08650310947500943,0.8058774140433901,0.9940641572525074,1.6260000000000001,0.23494796120130917,0.0027726354045425547,5.901978831109066,True,0.0
5,82.42820679999932,8668,0.016767413301849665,0.07947808232692972,0.8170487664945123,0.9949662949636673,1.494,0.2484695870047152,0.0027726354045425547,6.010613751730503,True,0.0
6,73.54571520000172,8660,0.015864028479328617,0.07661534063920626,0.8153890593113409,0.9954815805361207,1.458,0.2558958203114366,0.0027726354045425547,6.085450346420323,True,0.0
