,Algorithm,Shape,Field description,Gradient scheme,Gradient step,"Resolution, cells",Cell size,"Grid offset, cells","Computation time, seconds","Field sampling time, seconds",Field evaluations,"Traced memory, bytes","Resident memory peak, bytes",Iterations,Final loss,Number of vertices,Number of triangles,Number of degenerate triangles,"Relative volume error, %",Is watertight,Is winding consistent,"Non-manifold edges, %","Boundary edges, %","Non-manifold vertices, %","Self-intersecting triangles, %",Mean distance to surface,Max distance to surface,RMS distance to surface,"Surface error, cells","Crease error, cells",Chamfer distance,F-score,Edge Chamfer distance,Edge F-score,"Normals off by over 5 degrees, %","Aspect ratio over 4, %","Radius ratio over 4, %","Smallest angle under 10 degrees, %","Minimum angle, degrees","Maximum angle, degrees"
"CSG benchmark | Marching Cubes, Lorensen and Cline | resolution 16","Marching Cubes, Lorensen and Cline",CSG benchmark,R-function,,,16,0.041666666666666664,0.0,0.002435400034300983,0.0009349000174552202,4913,82650,45056,0,,1608,3232,0,-17.090344888237187,True,True,0.0,0.0,0.0,0.0,0.005318004439947579,0.020495616423181207,0.006301337688849713,0.15593671732357545,0.2900787279151484,8.44314576724051e-05,0.13939646515292597,0.0004461763114725519,0.0,69.926,25.556930693069308,25.0,25.247524752475247,0.7659243800974986,162.8372963738235
"CSG benchmark | Marching Cubes, Lewiner | resolution 16","Marching Cubes, Lewiner",CSG benchmark,R-function,,,16,0.041666666666666664,0.0,0.0026314000133424997,0.0015119999879971147,4913,80850,81920,0,,1608,3232,0,-17.090344888237187,True,True,0.0,0.0,0.0,0.0,0.005318004439947579,0.020495616423181207,0.006301337688849713,0.15593671732357545,0.2900787279151484,8.44314576724051e-05,0.13939646515292597,0.0004461763114725519,0.0,69.926,25.556930693069308,25.0,25.247524752475247,0.7659243800974986,162.8372963738235
"CSG benchmark | Marching Cubes, Lorensen and Cline | resolution 32","Marching Cubes, Lorensen and Cline",CSG benchmark,R-function,,,32,0.020833333333333332,0.0,0.0064598000026308,0.003207199973985553,35937,282874,24576,0,,5784,11584,0,-9.718459316252577,True,True,0.0,0.0,0.0,0.0,0.0029422610197831715,0.010217648760651399,0.0038805162845820763,0.1939421985818975,0.4872259947090356,3.265067395033001e-05,0.34118901115633515,0.00022783859428682102,0.0,37.939,9.668508287292818,8.701657458563536,9.737569060773481,0.8447836078072642,164.62707173988517
"CSG benchmark | Marching Cubes, Lewiner | resolution 32","Marching Cubes, Lewiner",CSG benchmark,R-function,,,32,0.020833333333333332,0.0,0.00720059999730438,0.0037161000072956085,35937,281346,36864,0,,5784,11584,0,-9.718459316252577,True,True,0.0,0.0,0.0,0.0,0.0029422610197831715,0.010217648760651399,0.0038805162845820763,0.1939421985818975,0.4872259947090356,3.265067395033001e-05,0.34118901115633515,0.00022783859428682102,0.0,37.939,9.668508287292818,8.701657458563536,9.737569060773481,0.8447836078072642,164.62707173988517
"CSG benchmark | Marching Cubes, Lorensen and Cline | resolution 64","Marching Cubes, Lorensen and Cline",CSG benchmark,R-function,,,64,0.010416666666666666,0.0,0.09283729997696355,0.0774661999894306,274625,1060113,8970240,0,,22008,44032,0,-3.621577393707137,True,True,0.0,0.0,0.0,0.0,0.0010997484425846796,0.00558652045300137,0.001603811927832165,0.16734107395227188,3.442598221482444,6.0770475328775436e-06,0.6024900153477297,0.00142085322897548,0.009867470886405813,20.616,8.92078488372093,8.938953488372094,9.811046511627906,1.3945146887532736,168.024945010433
"CSG benchmark | Marching Cubes, Lewiner | resolution 64","Marching Cubes, Lewiner",CSG benchmark,R-function,,,64,0.010416666666666666,0.0,0.08314619999146089,0.06905099999858066,274625,1060322,9977856,0,,22008,44032,0,-3.621577393707137,True,True,0.0,0.0,0.0,0.0,0.0010997484425846796,0.00558652045300137,0.001603811927832165,0.16734107395227188,3.442598221482444,6.0770475328775436e-06,0.6024900153477297,0.00142085322897548,0.009867470886405813,20.616,8.92078488372093,8.938953488372094,9.811046511627906,1.3945146887532736,168.024945010433
