resolution,iterations,loss,triangles,surface_cells,crease_cells,f1,normals_off,volume_error,seconds
16,0,,3216,0.18018051244340144,0.3481027564913158,0.09260459508938186,67.842,-19.894727037751704,4.130582999961916
16,25,0.000660592457279563,3216,0.18652314294275457,0.40118352108962235,0.14671150799591698,73.046,-19.56289913868707,13.389386242500041
16,50,0.0003498093574307859,3208,0.166405598651344,0.40272499454268584,0.17835418345645848,74.61,-16.73332921182822,26.778772485000083
16,75,0.00026289327070116997,3204,0.15807804306739218,0.42966892775352933,0.17142726706266018,75.51400000000001,-15.345397962227652,40.16815872750012
16,100,0.00020797207253053784,3180,0.15758689767380346,0.4335907836816935,0.18489854438413134,77.158,-14.76567202840087,53.557544970000166
16,125,0.00017638938152231276,3184,0.1450879739846507,0.4173964555138309,0.2021467114624506,76.12299999999999,-13.264927165824624,66.9469312125002
16,150,0.00012059359869454056,3184,0.13420059017236352,0.40424919969076767,0.2212117954622418,75.494,-11.928119406894476,80.33631745500024
16,175,0.00012846388563048095,3176,0.12837939991742733,0.3830148756040874,0.23296747126436781,75.364,-11.145391740906984,93.72570369750028
16,200,0.00010035501327365637,3176,0.12229330556466395,0.37010398713550824,0.24401632748346405,75.364,-10.396793208523015,107.11508994000033
16,225,0.0001055504399118945,3176,0.11588149332173094,0.3662710840284595,0.252638930231638,75.062,-9.729421105476257,120.50447618250037
16,250,9.463612514082342e-05,3176,0.11323833327638182,0.35592358265494745,0.2581683999380421,75.327,-9.38982560627925,133.8938624250004
16,275,8.79769359016791e-05,3176,0.10938515370651485,0.3476478336484705,0.2668522333551831,75.045,-8.976952662631948,147.28324866750046
16,300,8.066814916674048e-05,3172,0.1062122111558217,0.33114965116327455,0.27371472875011416,74.86,-8.599729762576212,160.67263491000048
16,325,7.46330915717408e-05,3172,0.10324088126220697,0.33022944653517666,0.2813374458105323,74.70700000000001,-8.282119883449077,174.06202115250053
16,350,8.754653390496969e-05,3172,0.10056402149940404,0.3269545603491361,0.2910122742888553,74.167,-7.993682495536399,187.45140739500056
16,375,7.401469338219613e-05,3172,0.09782909915293297,0.31715077855988266,0.3024709302133426,73.56899999999999,-7.651587346419521,200.8407936375006
