system,sign_agreement,value_median,gradient_min,gradient_max,gradient_span,surface_gradient_median,surface_gradient_spread,normalisation_error,crossings,crossing_median,crossing_p98,crossing_max
R0,100.0,0.011010897078916834,0.0,8.933514882387493,8.933514882387493e+300,1.0,0.8,0.08819562451271204,1696,0.08585941160049035,0.1636198278645712,0.1993948361730081
min/max,100.0,0.014691358024691362,0.0,1.0,9.999999999999999e+299,1.0,0.8,0.0,1696,2.7267077484793845e-13,0.07697929354473076,0.19861303744826178
