iteration,seconds,triangles,surface,crease,edge_f1,f1,normals_off,volume_error,min_angle,small_angles,watertight,non_manifold
0,0.0,11584,0.1939421985818975,0.4872259947090356,0.0,0.34118901115633515,37.939,-9.718459316252577,0.8447836078072642,9.737569060773481,True,0.0
1,143.70654879999347,9082,0.02790206166362104,0.1522849997951428,0.6198632735168395,0.9789755381110953,3.779,0.06307815016278656,0.0027726354045425547,5.439330543933055,True,0.0
2,102.72924869999406,8988,0.022749289444620374,0.10505539300687695,0.7589646817639585,0.9916238973205732,2.099,0.22849060875919805,0.00022685329707952095,6.82020471740098,True,0.0
3,85.41028290000395,8940,0.02019940246221043,0.09593431063087388,0.7717111693480118,0.992954247401708,2.103,0.26242874225933766,0.00022685329707952095,7.8970917225950785,True,0.0
