system,sign_agreement,value_median,gradient_low,gradient_high,gradient_span,surface_gradient_median,surface_gradient_spread,normalisation_error,crossings,crossing_median,crossing_p98,crossing_max
R0,100.0,0.04659722222222223,0.24999999999999997,1.0307764064044151,4.1231056256176615,0.6,2.220446049250313e-16,0.018027431369321556,966,0.01810121982184787,0.0764659966255008,0.0764659966255008
R-p(4),100.0,0.04659722222222223,0.24999999999999997,1.0307764064044151,4.1231056256176615,0.6,2.220446049250313e-16,0.018027431369321556,966,0.01810121982184787,0.0764659966255008,0.0764659966255008
min/max,100.0,0.04659722222222223,0.24999999999999997,1.0307764064044151,4.1231056256176615,0.6,2.220446049250313e-16,0.018027431369321556,966,0.01810121982184787,0.0764659966255008,0.0764659966255008
