system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,sharp_edge_length,seconds
R0,Marching Cubes,mc,1928,0.035531169314232815,,,0.23085439085140022,5.72,-1.4183123881809625,1.5204796187757739,6.224066390041494,True,0.0,0.0,0.0014779999910388142
R-p(4),Marching Cubes,mc,1928,0.035531169314232815,,,0.23085439085140022,5.72,-1.4183123881809625,1.5204796187757739,6.224066390041494,True,0.0,0.0,0.0012008999910904095
min/max,Marching Cubes,mc,1928,0.035531169314232815,,,0.23085439085140022,5.72,-1.4183123881809625,1.5204796187757739,6.224066390041494,True,0.0,0.0,0.0011664000048767775
