shape,system,primitives,method,crossing_median,surface_gradient,surface,crease,f1,edge_f1,normals,volume,min_angle
csg,R0,quadratic,mc,0.0876022375711335,0.8099999999999965,0.1939421985818975,0.4872259947090356,0.34118901115633515,0.0,37.939,-9.718459316252577,0.8447836078072642
csg,R0,quadratic,dmc,0.0876022375711335,0.8099999999999965,0.2099029377106998,0.5394048475721724,0.29566124955686474,0.0,38.243,-10.618207537099048,15.657747647128733
csg,R0,quadratic,dc,0.0876022375711335,0.8099999999999965,0.7427165054464965,0.68606144434749,0.39811410029218236,0.0037286173402196294,55.43900000000001,-10.776854650059134,0.013872344888614576
csg,R0,normalised,mc,0.10407687704139668,1.0,0.17260563918963204,1.0556595426266826,0.28852146695287884,0.0,39.658,-9.15416000490485,0.8908096096481709
csg,R0,normalised,dmc,0.10407687704139668,1.0,0.19137965711825924,0.5388302930004966,0.23462903102259672,0.0,35.924,-10.13199892717027,15.7818136878852
csg,R0,normalised,dc,0.10407687704139668,1.0,0.23556244332132462,0.6050487283746392,0.38592552863270374,0.0030143465034344805,43.851,-7.717262361941257,0.08733053190472274
csg,R-alpha(0.5),quadratic,mc,0.04811304749321847,0.8099999999999984,0.13911134643744522,1.8326541043402838,0.5273449892941734,0.005984578759079796,23.394000000000002,-6.370165569557173,1.2642971858511236
csg,R-alpha(0.5),quadratic,dmc,0.04811304749321847,0.8099999999999984,0.16119739572847896,0.7721425121877912,0.45638070881477594,0.0,32.992,-7.585630470825112,15.945219490672953
csg,R-alpha(0.5),quadratic,dc,0.04811304749321847,0.8099999999999984,0.8508916577310838,0.6118412528649959,0.483023465864953,0.005343302191865502,47.847,-6.739209001049042,0.14739379103044797
csg,R-alpha(0.5),normalised,mc,0.05675122906613707,1.0,0.11900408657406286,1.6880438151818438,0.4897729183625587,0.005555413927107018,29.116999999999997,-5.719630154310035,1.3291532888296318
csg,R-alpha(0.5),normalised,dmc,0.05675122906613707,1.0,0.14481588025866024,0.8545799686632894,0.4425425118210646,0.0,36.795,-7.026521141240765,16.17920102104701
csg,R-alpha(0.5),normalised,dc,0.05675122906613707,1.0,0.38800611609453506,0.6137104898073457,0.42912924677040853,0.0046513680695932594,34.491,-5.12749270522053,0.09944379852234153
csg,R-p(8),quadratic,mc,0.012599088823473936,0.81,0.12542047009854645,1.6196014712187397,0.59173084146877,0.004741556277165847,28.809,-4.789981089644355,1.3773158108892334
csg,R-p(8),quadratic,dmc,0.012599088823473936,0.81,0.14672286518762828,0.8076258898762175,0.5069832565928816,0.0,38.786,-6.145185575326107,15.461742684730696
csg,R-p(8),quadratic,dc,0.012599088823473936,0.81,2.2603116148945097,0.9917577228489157,0.19214667402095972,0.00820435017816077,80.91199999999999,-11.620239886601114,0.08941031651565602
csg,R-p(8),normalised,mc,0.014613243337353643,1.0,0.10431434284417189,1.5720504054770474,0.6493542730470524,0.004475349336041317,39.844,-3.885536321521389,1.3159527798220674
csg,R-p(8),normalised,dmc,0.014613243337353643,1.0,0.1286594147604991,0.867910546305622,0.5016925972616381,0.0,44.839,-5.376511497366895,15.646841158873498
csg,R-p(8),normalised,dc,0.014613243337353643,1.0,2.522097533146913,0.9739851915721657,0.22382416602542754,0.020395625044428427,76.672,-2.4579673322430926,0.058661146473099425
csg,min/max,quadratic,mc,0.009253504571166332,0.81,0.07840250357472187,1.6031973599142504,0.7912826037790679,0.028142501516358533,28.122000000000003,-1.8509543628226472,1.902263032769323
csg,min/max,quadratic,dmc,0.009253504571166332,0.81,0.10444205221858514,1.585952470199529,0.6554010352898124,0.0034041012579637095,41.510000000000005,-3.493721966424173,16.627634997015054
csg,min/max,quadratic,dc,0.009253504571166332,0.81,0.10847045668223337,0.24050111633514096,0.8943291022676746,0.20510846410764,20.82,-0.6313749040284742,0.0
csg,min/max,normalised,mc,0.002761086078598596,1.0,0.06992442401359876,0.7577481217114201,0.8370000666551196,0.022248596170450063,23.834,-1.593619309349521,1.9524456860255737
csg,min/max,normalised,dmc,0.002761086078598596,1.0,0.09931594324285097,1.5725233459273125,0.6823867910573451,0.002817800359375798,40.407,-3.302050127100343,16.865295366710868
csg,min/max,normalised,dc,0.002761086078598596,1.0,0.022279136766206895,0.25318054547761176,0.9719943428412783,0.2717167598997686,7.922999999999999,-0.1466133151260357,8.757617622087368e-05
cube-hole,R0,quadratic,mc,0.07640377807693305,1.0,0.12299315253962106,0.44471329037809754,0.2184203729379733,0.0,8.363,-2.7250661933679727,0.436543757549087
cube-hole,R0,quadratic,dmc,0.07640377807693305,1.0,0.13137880938743388,0.4532841481631083,0.21228413666439047,0.0,8.286,-2.8079766241680058,14.303781054275802
