alpha,crossing_median,crossing_p98,system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,seconds
-0.9,0.14805682803265405,0.39892388051017497,R-alpha(-0.9),Marching Cubes,mc,12928,0.2137463350124752,0.5209041291206502,0.0,0.21873855606057147,10.496,-5.110928805690696,0.0061819814850384396,9.282178217821782,True,0.0,0.18032640000456013
-0.7272727272727273,0.13351314064068384,0.37815033401984555,R-alpha(-0.727273),Marching Cubes,mc,12928,0.19366606914521597,0.5046334297939635,0.0,0.21873839055254804,10.376000000000001,-4.592512834426809,0.15421882180488863,9.282178217821782,True,0.0,0.01125569999567233
-0.5545454545454546,0.11947530099812764,0.35213161534362125,R-alpha(-0.554545),Marching Cubes,mc,12928,0.17465469462131267,0.4866543148101018,0.0,0.21894278007257129,9.968,-4.111448627664005,0.3760249747294301,9.22029702970297,True,0.0,0.009262999999918975
-0.38181818181818183,0.10580508365367805,0.3294119314338361,R-alpha(-0.381818),Marching Cubes,mc,12928,0.15740670928671938,0.47140675182762465,0.0,0.21897483023001096,9.501,-3.660912847583732,0.3965100295868077,9.096534653465346,True,0.0,0.007283600003574975
-0.2090909090909091,0.09239840721080794,0.3043355980361355,R-alpha(-0.209091),Marching Cubes,mc,12928,0.14147042082758013,0.4583328044924594,0.0,0.21829095970695972,9.132,-3.2302923098516687,0.4153664621286226,4.702970297029703,True,0.0,0.00767249999626074
-0.036363636363636376,0.07917206375637426,0.2737497662525916,R-alpha(-0.0363636),Marching Cubes,mc,12928,0.1261700363373546,0.44693815318974617,0.0,0.21841559923122683,8.425,-2.812083791559637,0.43294947901701086,4.084158415841585,True,0.0,0.00965120000182651
0.13636363636363635,0.069413832583582,0.25231865366641215,R-alpha(0.136364),Marching Cubes,mc,12928,0.1116098962334612,0.4368368824831263,0.0,0.2182009931059756,7.602,-2.4005745829827894,0.4495249068692908,3.9603960396039604,True,0.0,0.00908509999862872
0.30909090909090897,0.05595337729517397,0.2306092319530366,R-alpha(0.309091),Marching Cubes,mc,12928,0.09763703144149923,0.42779508290752405,0.0,0.49308532885933254,5.781,-1.9907173383600296,0.46528606081264884,3.8985148514851486,True,0.0,0.0067949999938718975
0.4818181818181818,0.04212775251718537,0.20824973421810056,R-alpha(0.481818),Marching Cubes,mc,12928,0.08397191801798799,0.41968521675983483,0.0,0.6500640969840513,4.04,-1.5771619668785222,0.48029942831208805,3.8985148514851486,True,0.0,0.007536900011473335
0.6545454545454547,0.028248575748266724,0.17346962434095903,R-alpha(0.654545),Marching Cubes,mc,12928,0.07071844175556274,0.41240582095203215,0.0,0.7978691558791465,4.346,-1.1526987442276215,0.4946715213128799,3.8985148514851486,True,0.0,0.009366099999169819
0.8272727272727273,0.014950275174805211,0.11993015698038978,R-alpha(0.827273),Marching Cubes,mc,12928,0.058226588437354926,0.40594050583195246,0.0,0.8718550876750347,5.047,-0.7034404635723758,0.5084268866468836,3.9603960396039604,True,0.0,0.008321300003444776
1.0,9.059419880941277e-14,0.0718966213016442,R-alpha(1),Marching Cubes,mc,12928,0.04513657159488292,0.4003117810613701,0.0,0.941819991400224,6.5280000000000005,-0.12461201651327938,0.5216108007642996,3.9603960396039604,True,0.0,0.007222400003229268
