sequence,steps,triangles,surface,crease,edge_f1,f1,normals_off,volume_error,min_angle,watertight,non_manifold,seconds,usable
"F,P,C50,F,A,P,C50",7,2456,0.023728847304799544,0.9448474459470158,0.5888689410273412,0.9649899949222273,9.116,0.44331725327241833,10.273247496387821,True,0.0,0.33270249999986845,True
"F,P,C50,C50",4,2508,0.06783011133510361,0.893405128301528,0.3882460737504804,0.853683773036853,20.424,-0.18171691874511753,21.370622269343148,True,0.0,0.16784670000197366,True
"R,F,P,C50",4,5060,0.04020641005284941,0.8644477952049301,0.6002091412079767,0.9234853357877639,13.234000000000002,0.09332581278964738,0.0013191548829591339,True,0.0,0.4274796999998216,False
"F,P,C",3,2836,0.06141044658307949,0.8969415596296415,0.384681014998023,0.8900718167060792,16.216,0.004797356248497859,0.297787879095086,True,0.0,0.1912981999994372,False
"F,P,C50",3,2544,0.06668966613499251,0.8918939249343678,0.3908919353003927,0.8564510729608724,20.4,-0.15427660141152283,0.297787879095086,True,0.0,0.1768545000013546,False
