sequence,steps,triangles,surface,crease,edge_f1,f1,normals_off,volume_error,min_angle,watertight,non_manifold,seconds,usable
"F,P,C50,F,A,P,C50",7,8172,0.018963342525208295,0.09678190527679058,0.7272654683723524,0.983589714413526,4.548,0.23227993462324203,0.002772676153943883,True,0.0,1.317980300002091,False
P,1,11584,0.07506523176419062,1.0717779256193085,0.013980164916950364,0.8158345207896769,24.498,-1.7809025998391983,0.7415811767942413,True,0.0,0.027958200000284705,False
none,0,11584,0.1939421985818975,0.4872259947090356,0.0,0.34118901115633515,37.939,-9.718459316252577,0.8447836078072642,True,0.0,3.9999940781854093e-07,False
