sequence,steps,triangles,surface,crease,edge_f1,f1,normals_off,volume_error,min_angle,watertight,non_manifold,seconds,usable
"R,F,P,C",4,4568,0.0006381181874483226,0.007063810767207804,0.9832128662056759,0.999859999099874,0.036000000000000004,0.01956391262885322,15.945395900922858,True,0.0,0.12769380000099773,True
"F,P,C50,F,A,P,C50",7,2368,0.0017391986191105557,0.013559726819909846,0.9443315737300649,0.9992349579428262,0.122,0.017777434269366024,9.462322208025613,True,0.0,0.17477529999814578,True
none,0,2696,0.07031641740941942,0.23831410842305642,0.0,0.1360366822172428,3.437,-2.4072806172035306,2.5128129487262547,True,0.0,5.000001692678779e-07,True
