alpha,crossing_median,crossing_p98,system,method,method_key,triangles,surface_error_in_cells,crease_error_in_cells,edge_f1_score,f1_score,inaccurate_normals,volume_error,min_angle,small_angle_share,watertight,non_manifold_edges,sharp_edge_length,seconds
-0.9,0.1819959705596047,0.4832778843436143,R-alpha(-0.9),Marching Cubes,mc,11584,0.2593444539095602,0.5420163520211081,0.0,0.1302891996933691,66.9,-14.24825749811605,0.00119775861930082,17.5414364640884,True,0.0,2107.621601033442,0.10428530001081526
-0.9,0.1819959705596047,0.4832778843436143,R-alpha(-0.9),"Dual Marching Cubes, centroid",dmc,11568,0.2679767382664283,0.5211241270419342,0.0,0.12022338604573943,52.849000000000004,-14.682572240087621,12.718189763518076,0.0,True,0.0,1798.9043008292242,0.9285800000070594
-0.7272727272727273,0.16176351857387128,0.4178867154740726,R-alpha(-0.727273),Marching Cubes,mc,11584,0.2508721414613238,0.5279773240444025,0.0,0.16033291399389676,63.20099999999999,-13.53236641925397,0.046780645340539294,15.331491712707182,True,0.0,1848.3125710656454,0.009693100000731647
-0.7272727272727273,0.16176351857387128,0.4178867154740726,R-alpha(-0.727273),"Dual Marching Cubes, centroid",dmc,11568,0.26051854684871906,0.5155341986864109,0.0,0.15255375237098567,50.849999999999994,-14.047778159431527,13.517724957393957,0.0,True,0.0,1729.147728036501,0.046864399992045946
-0.5545454545454546,0.14133420188350893,0.39376668250214086,R-alpha(-0.554545),Marching Cubes,mc,11584,0.2403045503459556,0.5084489637419063,0.0,0.19719907108668674,58.809999999999995,-12.74701420425982,0.2972281006790532,14.24378453038674,True,0.0,1545.3873122764958,0.01191349999862723
-0.5545454545454546,0.14133420188350893,0.39376668250214086,R-alpha(-0.554545),"Dual Marching Cubes, centroid",dmc,11568,0.2511544220973056,0.5118440525168818,0.0,0.18788894672544748,48.400999999999996,-13.346017849676397,14.11938028692273,0.0,True,0.0,1659.7905752735267,0.29161179999937303
-0.38181818181818183,0.12347736858071198,0.38664292361065955,R-alpha(-0.381818),Marching Cubes,mc,11584,0.22823218665431405,0.5069404319028499,0.0,0.2337298114740082,53.608999999999995,-11.887562409637821,0.5250452305577612,12.01657458563536,True,0.0,1405.6071714333914,0.021223599993390962
-0.38181818181818183,0.12347736858071198,0.38664292361065955,R-alpha(-0.381818),"Dual Marching Cubes, centroid",dmc,11568,0.2401747206763244,0.5219083800567664,0.0,0.21650332519126186,45.861000000000004,-12.574550163511244,14.634162850774084,0.0,True,0.0,1632.5568472011917,0.11100079999596346
-0.2090909090909091,0.1070365045877717,0.37401192688652163,R-alpha(-0.209091),Marching Cubes,mc,11584,0.21367976376699116,0.5041362237837499,0.0,0.2765365187861272,46.571,-10.950626969453527,0.6726205514843869,11.049723756906078,True,0.0,1375.6082442635868,0.017844400004833005
-0.2090909090909091,0.1070365045877717,0.37401192688652163,R-alpha(-0.209091),"Dual Marching Cubes, centroid",dmc,11568,0.22744999299352933,0.5167403284207677,0.0,0.24927518965551754,42.782,-11.730775445771405,15.10653621267963,0.0,True,0.0,1627.0758307900687,0.08023780000803526
-0.036363636363636376,0.09120233833563467,0.35692924353333033,R-alpha(-0.0363636),Marching Cubes,mc,11584,0.19761115861998838,0.4879985267834849,0.0,0.32460445101026425,39.537,-9.940020453708195,0.8150567703902966,9.737569060773481,True,0.0,1338.5711016465125,0.02445080000325106
-0.036363636363636376,0.09120233833563467,0.35692924353333033,R-alpha(-0.0363636),"Dual Marching Cubes, centroid",dmc,11568,0.2130243955538205,0.5381636938035165,0.0,0.28814437608258847,38.917,-10.818455885793467,15.56218010457563,0.0,True,0.0,1603.912089439301,0.11905799999658484
0.13636363636363635,0.07535427781658974,0.3346221593489408,R-alpha(0.136364),Marching Cubes,mc,11584,0.17994132978192484,0.5404436749064642,0.0,0.40412021854681196,31.933,-8.861582132060244,0.9563061617359259,8.149171270718233,True,0.0,1225.0266980749016,0.029201400000602007
0.13636363636363635,0.07535427781658974,0.3346221593489408,R-alpha(0.136364),"Dual Marching Cubes, centroid",dmc,11568,0.1974742809018657,0.5332527904359421,0.0,0.32545848678660716,35.207,-9.843128031160388,15.868872986815514,0.0,True,0.0,1572.5482103402549,0.12033930000325199
0.30909090909090897,0.060168202758990555,0.3066480843345552,R-alpha(0.309091),Marching Cubes,mc,11584,0.1609449348071495,1.4817818614489515,0.002568393257787406,0.47628221238752433,25.871,-7.717579463772509,1.0995666504307209,7.596685082872928,True,0.0,993.2278112643806,0.02094990000477992
0.30909090909090897,0.060168202758990555,0.3066480843345552,R-alpha(0.309091),"Dual Marching Cubes, centroid",dmc,11568,0.18061752520513602,0.6455092867499446,0.0,0.4020288809955538,32.859,-8.807110281841737,15.884815023953967,0.0,True,0.0,1560.629593319871,0.15090900000359397
0.4818181818181818,0.049305673430166536,0.27454256933208143,R-alpha(0.481818),Marching Cubes,mc,11584,0.1412947970630952,1.8322222713567033,0.005744087690090213,0.5227676669438311,23.613999999999997,-6.502741439617022,1.2481513917454585,9.461325966850827,True,0.0,973.1699606396822,0.026015700001153164
0.4818181818181818,0.049305673430166536,0.27454256933208143,R-alpha(0.481818),"Dual Marching Cubes, centroid",dmc,11568,0.16310375483266448,0.7670193142941524,0.0,0.45346631063150367,32.782,-7.705859002299081,15.93703196554533,0.0,True,0.0,1371.7756000871057,0.08197300000756513
0.6545454545454547,0.034308771830785095,0.2502178415543056,R-alpha(0.654545),Marching Cubes,mc,11584,0.12069632121705957,1.9212007102644226,0.008117184209894672,0.5664997627280104,23.669999999999998,-5.198463655778628,1.4070391343286768,11.464088397790055,True,0.0,989.9041339970998,0.02160899998852983
0.6545454545454547,0.034308771830785095,0.2502178415543056,R-alpha(0.654545),"Dual Marching Cubes, centroid",dmc,11568,0.1449441399065531,0.8570489207791132,0.0,0.4838622029542006,35.304,-6.522801737144317,16.04306655033016,0.0,True,0.0,1267.2491820594573,0.13588450000679586
0.8272727272727273,0.0221173071339279,0.224001252913053,R-alpha(0.827273),Marching Cubes,mc,11584,0.09980647728535279,1.9286598225384404,0.011375577083432196,0.5991465105609131,25.361,-3.753081181173228,1.5879064821873363,11.11878453038674,True,0.0,994.1371060912454,0.019666000007418916
0.8272727272727273,0.0221173071339279,0.224001252913053,R-alpha(0.827273),"Dual Marching Cubes, centroid",dmc,11568,0.12582360757666883,1.3077165463658187,0.0,0.5096315102568877,38.905,-5.211671361586592,16.22965337154713,0.0,True,0.0,1156.1599920837298,0.0943420999974478
